word,count
逗号,310
句号,134
双引号,59
冒号,40
圆点,33
单引号,29
感叹号,29
三辆车,28
括号,24
省略号,24
然后,22
开心,22
看见,20
动作,20
反单引号,19
回家,19
思考,19
问号,17
睡觉,17
下楼,17
操作,16
反括号,15
睁眼,15
大雨,15
打车,15
聊天,15
警察,15
坐着,14
指右,14
马路,14
看到,14
打招呼,14
好一阵,14
有人说,14
时钟,13
走路,13
上楼,13
想上厕所,13
震惊,13
引号,13
女生,13
平行四边形,12
起床,12
看时间,12
交谈,12
喝咖啡,12
咖啡,12
时间,12
动词,12
男生,12
出租车,11
下雨,11
闭眼,11
喝茶,11
想到,11
走来走去,11
等等,11
红灯,10
右括号,10
不开心,10
上厕所,10
女生说,10
点号,10
分隔,10
照镜子,9
惊讶,9
开车,9
男生说,9
脚印,9
说话,8
结束,8
反引号,8
站台,8
半人像,8
疑惑,8
上升,8
去医院,8
下车,8
去厕所,8
哭泣,8
你好,8
手机震动,8
交警,8
指责,8
状态,8
停止,7
啤酒,7
愤怒,7
关灯,7
做梦,7
向下飞,7
学习,7
微笑,7
伤心,7
喝酒,7
离开,7
刷卡,7
出门,7
打电话,7
生气,7
