dishu_distinctive,dishu_score,baihua_distinctive,baihua_score
逗号,0.014888151478567035,完成态,-0.0064754856614246065
双引号,0.008379491549495818,蚊子,-0.002953692269712445
冒号,0.005681011219997162,男生说,-0.002884584686416458
圆点,0.004686834256497656,他们,-0.0027752081406105457
感叹号,0.004118733134497939,所有格,-0.0027752081406105457
单引号,0.004118733134497939,调查,-0.0027752081406105457
三辆车,0.00397670785399801,我们,-0.0027752081406105457
省略号,0.0034086067319982942,助词,-0.0027752081406105457
括号,0.0034086067319982942,女生说,-0.002742559405916529
动作,0.0028405056099985787,感到,-0.002312673450508788
思考,0.0026984803294986498,询问,-0.0017081134799071017
反单引号,0.0026984803294986498,继续,-0.0017081134799071017
开心,0.002662021480896679,记录,-0.0017081134799071017
问号,0.002414429768498792,警察,-0.0015698983133151266
操作,0.002272404487998863,车祸,-0.0014240629189072435
大雨,0.0021303792074989342,手机,-0.0014240629189072435
反括号,0.0021303792074989342,根蜡烛,-0.0012820376384073146
睁眼,0.0021303792074989342,看着,-0.001103553509305415
有人说,0.0019883539269990053,办公,-0.0009979870774074566
指右,0.0019883539269990053,下楼梯,-0.0009615282288054861
